player_api_id,player_name,team_api_id,team_fifa_api_id,team_name,team_long_name,Country,League,season,PiyasaDegeri
263511,Maxime Dupe,9830,71,FC Nantes,FC Nantes,France,France Ligue 1,2015/2016,600000
182923,Maxime Gonalons,9748,66,Olympique Lyonnais,Olympique Lyonnais,France,France Ligue 1,2015/2016,15000000
173952,Maxime Le Marchand,9831,72,OGC Nice,OGC Nice,France,France Ligue 1,2015/2016,2250000
166575,Maxime Lestienne,8640,247,PSV,PSV,Netherlands,Netherlands Eredivisie,2015/2016,5000000
352833,Maxime Poundje,9827,59,Girondins de Bordeaux,Girondins de Bordeaux,France,France Ligue 1,2015/2016,1500000
562685,Maxime Spano,9941,1809,Toulouse FC,Toulouse FC,France,France Ligue 1,2014/2015,300000
298915,Maximilian Arnold,8721,175,VfL Wolfsburg,VfL Wolfsburg,Germany,Germany 1. Bundesliga,2015/2016,12000000
602523,Maximilian Eggestein,8697,38,SV Werder Bremen,SV Werder Bremen,Germany,Germany 1. Bundesliga,2015/2016,500000
614384,Maximilian Mittelstaedt,8177,166,Hertha BSC Berlin,Hertha BSC Berlin,Germany,Germany 1. Bundesliga,2015/2016,500000
532738,Maximilian Philipp,8358,25,SC Freiburg,SC Freiburg,Germany,Germany 1. Bundesliga,2014/2015,4000000
57071,Maximiliano Pereira,9773,236,FC Porto,FC Porto,Portugal,Portugal Liga ZON Sagres,2015/2016,5500000
34304,Maxwell,9847,73,Paris Saint-Germain,Paris Saint-Germain,France,France Ligue 1,2015/2016,1000000
179365,May Mahlangu,9997,680,Sint-Truidense VV,Sint-Truidense VV,Belgium,Belgium Jupiler League,2015/2016,700000
72665,Maya Yoshida,8466,17,Southampton,Southampton,England,England Premier League,2015/2016,4000000
111865,Maynor Figueroa,8667,1952,Hull City,Hull City,England,England Premier League,2014/2015,900000
512734,Mbaye Diagne,10001,681,KVC Westerlo,KVC Westerlo,Belgium,Belgium Jupiler League,2014/2015,1000000
46335,Mbaye Leye,10000,15005,SV Zulte-Waregem,SV Zulte-Waregem,Belgium,Belgium Jupiler League,2015/2016,600000
46241,Mbaye Niang,8564,47,Milan,Milan,Italy,Italy Serie A,2015/2016,15000000
40428,McDonald Mariga,10167,50,Parma,Parma,Italy,Italy Serie A,2014/2015,400000
301234,Mehdi Abeid,10261,13,Newcastle United,Newcastle United,England,England Premier League,2014/2015,1750000
46875,Mehdi Benatia,9823,21,FC Bayern Munich,FC Bayern Munich,Germany,Germany 1. Bundesliga,2015/2016,16000000
148335,Mehdi Carcela-Gonzalez,9772,234,SL Benfica,SL Benfica,Portugal,Portugal Liga ZON Sagres,2015/2016,5000000
32999,Mehdi Lacen,8305,1860,Getafe CF,Getafe CF,Spain,Spain LIGA BBVA,2015/2016,1800000
143757,Mehdi Mostefa,7794,58,SC Bastia,SC Bastia,France,France Ligue 1,2015/2016,500000
203940,Mehdi Terki,9994,2007,Sporting Lokeren,Sporting Lokeren,Belgium,Belgium Jupiler League,2015/2016,350000
303358,Mehdi Zeffane,9851,74,Stade Rennais FC,Stade Rennais FC,France,France Ligue 1,2015/2016,1250000
315058,Melker Hallberg,8600,55,Udinese,Udinese,Italy,Italy Serie A,2014/2015,650000
493160,Melvyn Lorenzen,8697,38,SV Werder Bremen,SV Werder Bremen,Germany,Germany 1. Bundesliga,2015/2016,400000
303824,Memphis Depay,10260,11,Manchester United,Manchester United,England,England Premier League,2015/2016,25000000
